signal_strength_dbm,throughput_mbps,latency_ms
-90.64,22.6,18.17
-94.17,0.5,30.83
-76.38,15.89,25.35
-92.48,7.09,49.85
-77.02,65.11,12.18
-77.66,14.44,106.19
-74.97,35.43,37.19
-56.06,71.56,40.63
-76.43,10.66,35.3
-44.57,33.34,180.96
-95.0,0.5,83.96
-70.08,14.56,159.87
-65.38,36.53,59.18
-70.24,100.74,13.5
-68.31,9.25,500.0
-82.52,9.53,18.87
-71.39,13.97,34.13
-52.03,81.22,1.0
-75.24,13.1,41.05
-79.01,8.28,74.78
-50.34,27.5,35.09
-68.93,100.59,15.75
-77.95,6.4,160.8
-66.98,62.12,21.34
-86.48,13.0,31.69
-73.77,9.79,67.28
-68.53,41.73,51.27
-85.63,3.13,47.01
-81.71,8.3,44.28
-73.53,50.35,20.17
-77.43,34.04,29.83
-66.92,47.2,31.65
-95.0,5.54,78.59
-39.53,34.97,25.59
-70.64,8.63,500.0
-64.23,26.44,21.93
-72.27,48.07,27.51
-61.17,21.43,24.16
-66.27,10.04,249.26
-56.09,138.1,10.08
-70.94,30.12,67.95
-95.0,0.72,174.09
-74.92,29.32,46.47
-80.13,44.76,17.65
-65.12,29.11,16.05
-60.95,19.17,500.0
-39.53,29.72,183.19
-63.78,53.77,12.22
-76.01,10.41,23.56
-49.18,42.98,10.26
-74.23,36.39,26.6
-95.0,1.24,56.38
-69.8,30.94,15.17
-66.2,6.5,500.0
-95.0,3.7,500.0
-66.2,17.67,20.4
-81.69,20.35,52.84
-71.79,12.25,42.32
-77.37,29.65,24.33
-71.59,77.65,15.58
-94.6,5.4,27.03
-56.13,101.39,13.57
-67.16,52.28,10.29
-38.19,37.96,46.68
-84.7,25.88,23.62
-65.62,60.27,25.0
-71.99,8.29,242.01
-95.0,0.85,42.1
-86.27,14.94,195.27
-65.89,255.81,12.13
-76.72,14.9,500.0
-56.11,20.85,232.98
-56.11,27.47,28.63
-67.57,41.46,10.97
-71.96,15.29,27.3
-95.0,5.3,171.74
-79.07,10.66,126.04
-95.0,12.9,36.71
-57.89,28.14,17.59
-75.38,16.92,20.39
-86.2,7.26,500.0
-63.01,16.47,28.46
-69.37,28.03,17.24
-72.17,15.24,65.12
-90.2,0.5,333.35
-42.6,49.25,15.77
-79.12,8.09,45.42
-59.87,51.27,315.72
-86.72,7.61,50.2
-54.3,51.34,500.0
-37.79,38.35,23.01
-52.09,41.89,11.35
-76.76,9.22,31.03
-78.4,4.9,36.82
-79.3,22.11,141.65
-63.16,57.96,31.0
-73.92,21.2,17.1
-92.58,2.05,76.09
-95.0,4.69,253.81
-64.67,54.01,26.18
-80.2,12.09,18.45
-76.23,11.97,29.63
-81.27,22.49,35.07
-87.42,4.77,262.26
-68.3,10.94,48.3
-95.0,4.94,60.03
-60.59,22.17,33.94
-59.43,27.64,15.23
-84.7,1.17,85.82
-87.09,26.4,19.96
-81.41,27.16,29.45
-53.9,20.64,42.31
-77.31,27.08,59.58
-81.7,7.63,126.84
-71.93,4.56,164.72
-86.01,3.14,26.0
-81.31,26.65,21.49
-86.11,7.95,86.5
-89.24,8.11,38.52
-91.79,3.62,500.0
-68.86,15.23,48.91
-57.21,23.66,35.9
-84.64,9.97,248.01
-76.52,26.44,500.0
-95.0,2.3,500.0
-36.6,298.42,3.81
-75.16,32.21,244.37
-67.99,41.45,9.45
-80.3,3.95,341.83
-95.0,4.44,80.67
-88.93,11.88,36.9
-80.91,18.22,22.18
-59.2,110.42,11.31
-41.28,135.09,14.59
-45.43,32.76,500.0
-83.7,24.68,25.01
-90.86,2.33,71.66
-51.65,23.18,58.38
-38.33,150.75,14.6
-76.61,26.2,492.95
-82.91,23.3,33.51
-49.69,24.1,70.61
-82.84,2.28,500.0
-64.71,17.27,79.81
-87.03,15.72,52.03
-60.47,29.46,15.3
-56.7,36.75,23.47
-88.05,9.94,23.62
-86.98,7.32,114.39
-59.7,25.92,24.89
-67.18,14.76,38.09
-66.34,36.6,10.18
-82.79,24.88,36.72
-63.71,50.19,500.0
-79.11,8.52,30.67
-63.81,15.29,500.0
-61.79,41.08,12.88
-81.34,20.02,39.42
-64.21,29.89,19.06
-57.95,20.79,37.51
-67.57,158.47,3.75
-55.99,62.85,500.0
-71.94,19.99,129.13
-82.42,5.84,44.09
-70.03,16.31,100.39
-67.99,7.1,160.68
-88.94,13.88,35.53
-77.32,30.66,158.74
-81.74,16.93,39.3
-95.0,3.3,34.39
-66.51,40.47,13.43
-74.85,13.47,20.26
-60.24,22.42,75.01
-80.05,34.12,32.52
-70.99,82.01,10.38
-68.61,22.25,21.53
-59.93,15.68,500.0
-66.19,11.83,90.05
-65.96,60.97,25.12
-58.17,19.74,33.44
-57.53,28.22,45.67
-88.36,12.0,39.58
-87.6,19.67,31.6
-71.27,30.09,500.0
-36.32,73.06,9.29
-81.73,18.42,51.91
-75.08,17.82,24.51
-34.29,49.32,22.05
-73.03,27.58,13.16
-80.38,15.57,247.49
-95.0,0.5,30.81
-69.78,31.69,92.42
-58.42,28.76,40.08
-68.47,50.11,35.8
-68.5,42.88,10.01
-80.28,28.01,36.34
-80.81,90.21,12.13
-31.65,181.18,15.12
-56.06,21.15,184.6
-76.4,32.83,22.2
-67.73,20.74,23.01
-86.99,55.28,15.78
-84.17,9.52,109.4
-70.02,28.19,14.12
-40.25,50.28,17.29
-64.75,127.52,8.08
-88.11,10.15,42.05
-60.27,17.32,65.54
-95.0,2.57,34.3
-49.25,75.34,149.27
-33.01,43.79,48.95
-40.24,114.71,29.5
-57.65,108.1,7.6
-54.5,64.7,230.27
-77.8,15.85,500.0
-75.81,20.79,60.34
-76.27,37.67,23.89
-90.51,8.75,496.93
-49.2,34.05,19.03
-89.97,7.68,40.86
-79.83,3.55,500.0
-72.87,31.79,44.37
-66.73,12.89,189.12
-71.92,44.37,33.23
-80.27,3.98,108.49
-72.17,10.82,65.88
-77.74,12.64,23.15
-60.38,21.36,36.37
-63.19,74.5,18.39
-95.0,4.34,27.27
-49.33,54.97,141.53
-70.01,19.98,17.02
-73.16,14.56,29.53
-69.25,44.75,66.28
-63.76,136.39,7.31
-81.13,8.23,50.37
-82.67,5.12,262.93
-92.99,3.62,62.22
-53.3,23.89,96.31
-95.0,2.02,48.99
-87.43,6.53,42.25
-82.14,29.43,21.84
-40.61,43.55,16.79
-79.36,22.7,137.75
-75.29,30.89,63.26
-53.57,32.22,25.43
-84.65,2.07,96.88
-42.18,386.88,17.96
-92.69,6.06,52.5
-83.79,15.27,38.4
-73.78,97.78,18.4
-48.69,60.7,58.61
-95.0,0.5,48.96
-64.28,41.5,7.86
-65.83,25.54,18.84
-68.54,41.52,135.17
-76.91,8.53,67.33
-69.27,29.86,10.79
-82.56,12.74,331.58
-71.03,11.45,71.24
-80.4,16.81,20.51
-82.4,7.86,500.0
-67.49,36.47,240.8
-68.49,9.46,38.43
-84.38,10.66,348.04
-71.44,32.03,69.74
-39.75,46.96,15.31
-63.13,64.17,33.17
-81.17,17.26,90.14
-72.4,25.02,254.57
-72.19,37.9,36.69
-84.16,9.3,28.38
-95.0,4.96,34.22
-78.82,10.57,74.96
-74.41,10.26,76.39
-73.9,15.82,18.83
-80.03,12.0,37.49
-68.49,92.38,10.31
-66.04,56.44,36.17
-33.39,109.38,88.55
-52.99,28.64,15.92
-66.42,26.73,250.88
-90.55,8.52,40.5
-67.08,80.24,12.98
-95.0,7.75,38.84
-72.2,37.04,42.13
-92.78,4.51,337.88
-52.64,86.04,29.08
-95.0,6.78,31.22
-95.0,1.32,500.0
-74.06,10.88,33.76
-59.79,46.63,55.83
-75.8,15.1,29.38
-95.0,2.39,33.93
-86.54,11.35,34.99
-29.54,99.48,153.54
-72.86,15.4,24.97
-69.95,57.81,16.95
-50.13,112.1,16.19
-73.18,12.8,31.55
-75.82,5.71,46.65
-54.93,20.81,51.79
-46.48,91.07,2.71
-51.5,100.33,17.47
-59.68,69.02,29.64
-66.08,12.53,41.72
-77.29,25.5,81.42
-84.59,12.97,42.57
-79.02,19.24,93.08
-72.27,85.28,19.84
-67.94,17.14,25.94
-79.3,11.98,25.74
-73.97,50.84,24.26
-75.7,8.94,243.29
-76.0,41.01,16.41
-30.09,73.73,120.9
-79.52,28.91,24.06
-63.39,14.32,500.0
-73.91,9.38,58.25
-66.01,27.13,15.71
-46.37,29.8,29.69
-70.69,12.77,66.63
-95.0,7.97,36.64
-82.38,2.45,37.84
-73.91,58.29,17.39
-66.91,16.75,52.17
-73.19,41.52,31.49
-71.51,6.03,254.04
-80.19,5.05,159.96
-95.0,15.33,28.08
-71.21,39.61,9.95
-79.08,19.62,40.43
-56.85,85.65,18.06
-89.31,7.54,101.23
-70.57,40.23,80.65
-78.8,20.28,15.4
-81.54,9.21,31.93
-62.7,20.48,26.93
-66.88,16.68,30.6
-76.1,26.43,49.68
-89.11,9.97,500.0
-62.01,16.63,33.65
-42.51,20.34,107.4
-64.51,37.9,321.03
-74.98,39.94,30.6
-95.0,1.54,49.93
-51.93,92.35,10.71
-90.6,8.65,26.69
-82.07,5.62,32.02
-95.0,3.2,205.7
-42.2,106.35,25.43
-65.73,27.55,20.67
-76.79,13.9,83.93
-61.79,19.23,239.17
-81.69,12.83,74.56
-95.0,2.68,108.84
-56.27,94.67,15.86
-94.75,2.83,169.59
-78.65,17.87,162.86
-84.17,5.47,48.86
-82.33,14.31,54.27
-56.65,19.29,34.26
-95.0,8.07,28.66
-73.95,26.95,137.74
-87.68,6.86,44.38
-71.43,22.09,69.67
-81.12,30.37,27.46
-65.72,15.59,105.04
-59.07,22.42,481.33
-86.45,0.8,33.91
-53.67,52.38,6.27
-33.06,39.85,65.32
-74.49,26.34,49.63
-75.05,41.85,25.24
-72.18,9.72,28.71
-81.01,4.01,82.62
-51.56,71.91,27.63
-61.71,24.01,24.3
-70.37,49.57,35.21
-55.13,22.56,233.09
-73.5,18.92,19.12
-80.88,14.29,136.47
-74.53,16.88,28.71
-63.6,12.19,500.0
-33.39,143.93,16.51
-61.66,37.9,10.42
-64.43,144.66,8.78
-64.76,17.59,20.47
-77.84,27.47,53.41
-91.07,6.15,184.03
-67.18,10.88,75.72
-95.0,0.5,48.57
-83.37,14.88,494.22
-76.52,53.05,16.44
-95.0,10.95,22.09
-75.56,68.74,15.49
-42.61,111.47,22.2
-65.76,62.76,21.84
-79.02,23.26,500.0
-64.95,90.68,11.96
-71.91,17.15,500.0
-77.4,9.95,69.87
-54.3,78.4,7.17
-70.81,13.92,71.74
-67.65,72.73,20.18
-51.77,68.01,4.97
-66.3,66.77,17.24
-67.89,35.61,193.8
-77.61,25.95,51.25
-85.22,48.0,22.38
-78.88,28.13,28.93
-66.43,21.23,16.33
-76.92,20.55,498.72
-81.99,25.48,30.38
-95.0,1.22,51.51
-67.26,196.3,8.68
-95.0,3.44,500.0
-69.92,33.19,14.92
-75.67,11.3,59.09
-85.74,14.77,38.21
-91.93,9.01,349.0
-65.91,14.41,70.35
-61.82,39.84,10.85
-80.99,64.93,19.59
-81.72,1.48,50.13
-58.72,30.17,16.55
-54.49,40.84,10.49
-66.18,48.95,6.66
-79.3,20.23,118.88
-64.21,47.72,314.83
-95.0,4.78,256.71
-75.82,12.41,29.82
-92.86,6.73,33.42
-52.43,47.39,12.2
-41.23,63.79,10.82
-80.71,20.54,124.6
-61.57,207.74,4.74
-78.66,7.26,242.85
-95.0,8.82,38.84
-50.88,25.6,48.69
-77.23,25.74,80.43
-75.15,112.03,16.18
-59.61,24.31,22.58
-77.91,10.85,40.53
-53.08,16.03,138.66
-70.68,5.9,204.48
-62.12,18.6,70.21
-74.97,18.2,18.96
-56.78,56.14,500.0
-68.45,59.74,15.94
-67.35,21.54,18.0
-65.39,38.54,8.18
-73.37,27.71,43.58
-55.86,19.88,483.36
-89.56,13.51,36.39
-87.35,10.06,23.95
-73.06,9.85,500.0
-80.22,13.65,19.56
-95.0,1.68,60.05
-73.56,11.08,117.72
-90.07,11.48,26.15
-66.33,28.4,19.06
-65.68,35.1,8.6
-93.64,3.61,122.04
-95.0,0.5,47.61
-66.51,13.65,239.51
-80.09,6.48,67.79
-66.41,33.53,8.32
-81.51,3.33,243.58
-78.93,23.57,109.64
-68.88,17.19,39.37
-69.29,11.36,158.87
-90.42,4.66,34.09
-52.0,101.42,19.87
-56.33,11.44,500.0
-74.67,21.47,20.07
-72.3,65.14,18.64
-51.58,17.65,113.02
-80.18,12.26,500.0
-74.18,26.31,19.9
-67.67,38.24,319.86
-58.44,11.85,320.89
-73.64,34.89,39.45
-83.0,11.73,20.98
-37.5,65.11,7.84
-49.23,27.46,31.38
-79.11,12.78,44.18
-70.41,41.1,49.47
-75.5,32.15,33.95
-76.98,5.97,29.66
-84.87,2.88,35.9
-83.24,16.68,65.85
-43.62,331.4,2.89
-71.23,6.38,104.12
-68.34,14.52,22.88
-90.47,2.67,500.0
-95.0,14.7,33.99
-89.18,6.45,55.3
-84.51,3.88,51.06
-72.97,24.97,193.82
-70.92,24.62,20.21
-63.17,15.43,72.16
-77.88,8.65,106.14
-71.53,199.91,14.49
-72.06,13.65,321.51
-70.06,241.6,9.63
-41.52,93.76,32.56
-71.42,57.04,21.67
-89.6,9.77,41.87
-70.26,21.86,25.79
-45.08,31.05,34.08
-72.36,71.97,14.17
-82.93,25.67,28.64
-78.66,19.29,134.73
-72.34,17.86,17.03
-86.22,1.47,129.32
-69.51,13.1,320.93
-51.31,75.83,3.84
-63.21,15.01,39.2
-67.19,96.04,4.79
-85.82,33.63,27.21
-26.35,133.36,47.73
-56.44,130.75,10.78
-62.48,67.33,3.92
-39.08,46.09,32.99
-50.2,29.96,45.84
-65.04,8.57,109.19
-61.92,24.84,20.7
-54.87,35.54,13.59
-53.36,72.5,84.47
-59.29,28.12,31.14
-68.03,22.61,25.11
-67.05,57.89,25.9
-72.1,34.43,47.86
-73.44,19.64,18.23
-72.92,19.94,23.46
-81.03,15.47,500.0
-74.98,5.64,61.81
-75.76,80.85,15.22
-69.36,12.49,33.04
-79.96,20.79,59.53
-73.44,45.22,10.29
-42.27,99.48,38.23
-69.12,14.37,110.99
-78.93,9.98,35.15
-95.0,1.7,118.92
-86.06,6.32,85.33
-67.0,17.82,105.64
-95.0,0.5,51.22
-77.3,15.37,495.6
-63.29,16.71,489.33
-68.02,13.55,48.97
-46.23,53.71,8.58
-82.56,8.37,56.86
-78.48,19.75,499.57
-75.37,33.68,196.48
-63.94,16.56,29.96
-76.22,8.82,160.75
-56.31,38.23,123.3
-69.38,45.77,44.86
-52.51,59.33,6.36
-25.27,45.87,60.78
-76.09,70.21,15.83
-74.98,43.95,22.27
-81.24,15.93,326.24
-83.27,5.26,262.35
-78.01,5.05,172.12
-66.42,37.15,7.44
-77.59,23.15,44.04
-62.35,21.88,22.87
-70.41,36.05,62.13
-93.96,2.3,198.03
-84.75,10.78,29.19
-70.58,31.07,19.79
-77.75,3.92,34.0
-73.63,9.43,91.96
-48.34,52.37,9.39
-95.0,1.71,29.64
-91.48,11.47,28.45
-61.08,27.03,24.48
-74.1,59.26,19.27
-88.23,9.0,99.15
-93.84,3.14,109.43
-51.03,50.81,68.86
-73.5,14.85,19.39
-81.52,7.13,65.2
-66.89,37.38,500.0
-83.7,3.56,500.0
-38.91,102.05,76.46
-87.15,9.34,169.38
-54.9,25.5,29.91
-82.58,15.86,33.69
-54.67,16.91,320.72
-72.95,125.86,17.67
-86.6,6.21,126.14
-68.88,62.86,8.43
-43.42,63.2,10.31
-59.72,49.07,4.54
-57.07,19.8,316.05
-88.75,1.37,58.17
-70.62,12.35,323.24
-43.41,169.58,10.65
-80.46,7.6,23.4
-45.95,381.91,2.77
-41.52,49.15,17.17
-62.19,55.71,17.15
-80.9,19.82,192.12
-81.94,1.43,252.62
-83.32,19.42,38.46
-95.0,0.77,82.59
-90.15,7.58,62.51
-76.7,6.17,492.8
-60.53,84.07,16.73
-86.9,18.51,24.12
-95.0,0.5,337.59
-73.19,73.33,12.71
-90.31,7.78,62.06
-82.57,1.13,39.72
-58.26,34.22,10.94
-58.89,84.27,8.24
-91.28,5.25,39.99
-91.69,7.25,81.44
-46.43,30.31,35.55
-72.92,11.63,25.04
-79.58,33.89,23.18
-72.3,6.1,48.55
-64.5,44.2,7.67
-30.89,107.1,233.52
-70.7,7.78,103.39
-85.17,7.98,59.17
-95.0,0.94,35.94
-66.25,84.79,15.57
-65.93,42.21,63.88
-63.15,15.48,46.13
-66.87,25.66,23.53
-78.95,18.31,66.86
-57.3,25.38,38.78
-87.31,11.7,35.17
-69.91,43.55,45.19
-70.11,49.73,31.5
-82.91,47.18,16.92
-66.69,32.45,240.44
-70.93,17.49,35.06
-93.94,2.34,34.17
-65.52,10.45,69.94
-53.78,33.6,27.52
-85.23,2.67,40.48
-85.77,0.5,32.94
-58.88,69.52,2.37
-82.23,4.5,100.52
-61.35,46.39,78.02
-95.0,0.5,31.97
-84.07,7.1,50.85
-75.54,24.87,500.0
-49.26,81.13,146.09
-70.1,55.88,22.4
-95.0,0.5,75.76
-72.32,36.2,12.39
-75.56,6.93,95.87
-65.42,14.48,100.94
-65.9,14.65,110.0
-57.59,31.91,17.79
-38.87,26.92,98.64
-92.35,9.84,25.42
-84.82,13.18,21.72
-64.75,9.41,98.03
-71.77,6.53,336.07
-69.69,36.19,38.69
-59.57,24.64,24.49
-95.0,10.57,28.3
-41.13,78.15,68.64
-59.07,24.28,95.63
-64.76,44.3,319.33
-59.31,123.12,5.03
-79.56,21.33,34.12
-75.04,59.82,18.87
-58.49,28.23,24.42
-68.96,16.17,36.85
-75.76,25.33,121.35
-58.87,233.72,10.14
-52.19,31.77,18.22
-83.25,11.74,41.2
-95.0,0.65,48.49
-71.29,39.08,87.01
-51.34,76.67,69.44
-69.89,32.83,15.23
-79.78,20.96,330.58
-73.86,11.54,135.41
-67.52,7.16,96.13
-65.81,15.77,500.0
-49.45,26.67,44.77
-67.68,56.9,7.01
-61.83,29.69,12.11
-68.12,133.15,14.02
-58.68,59.17,482.37
-81.04,26.37,26.83
-95.0,14.36,21.28
-77.4,6.24,47.52
-84.33,11.24,23.08
-64.55,20.19,44.84
-38.13,36.88,62.61
-62.51,46.12,12.85
-68.0,46.2,58.74
-93.01,3.02,33.71
-69.5,6.22,197.55
-67.99,45.03,114.68
-77.94,14.48,248.67
-62.04,17.59,106.82
-65.75,29.29,14.11
-80.17,16.16,96.21
-68.12,36.71,328.33
-71.86,17.64,61.05
-53.92,26.09,29.19
-52.42,40.92,11.4
-84.05,5.08,24.08
-43.49,27.07,88.66
-83.61,0.5,38.76
-80.52,38.43,25.19
-50.53,24.24,321.97
-72.01,6.42,500.0
-82.36,38.28,19.51
-58.05,42.8,10.79
-81.83,14.49,23.33
-69.43,10.27,51.29
-63.23,44.98,189.93
-86.72,4.25,164.17
-81.09,5.26,39.7
-78.71,18.29,110.67
-86.35,22.56,25.73
-70.43,37.28,13.7
-95.0,0.5,57.54
-63.61,24.93,15.25
-79.93,7.75,36.66
-72.45,15.67,20.2
-41.21,38.43,30.64
-70.03,10.38,65.28
-77.47,10.99,63.38
-75.94,8.02,38.07
-65.28,105.85,25.85
-78.02,20.61,158.44
-95.0,0.5,101.0
-37.99,43.51,28.72
-95.0,0.5,175.14
-82.28,6.74,53.32
-79.25,17.04,24.58
-75.01,28.12,12.71
-88.46,4.61,52.79
-86.48,1.66,115.95
-78.53,16.64,18.89
-60.89,48.59,47.86
-90.5,0.5,45.17
-73.74,15.61,27.13
-66.3,13.43,500.0
-76.15,5.79,489.84
-66.07,247.34,12.11
-66.79,20.9,28.35
-53.85,81.14,28.16
-66.27,27.56,15.14
-86.66,1.95,37.63
-76.88,5.14,76.27
-95.0,5.31,43.31
-63.07,58.23,10.53
-74.42,13.19,20.23
-65.81,167.87,7.59
-70.89,40.36,69.68
-95.0,7.1,47.61
-54.05,18.95,45.16
-95.0,1.26,111.21
-77.4,6.85,68.84
-57.45,16.01,88.22
-62.65,89.0,18.33
-95.0,2.04,42.61
-65.94,59.65,8.21
-73.92,14.4,40.73
-91.24,12.74,22.65
-60.71,24.26,110.64
-60.68,21.75,75.37
-64.6,37.78,75.51
-40.4,45.5,19.89
-64.28,44.53,69.07
-67.42,96.51,14.41
-94.03,0.5,59.19
-66.51,17.52,500.0
-44.07,21.9,154.57
-55.69,43.23,10.25
-62.95,51.13,76.07
-73.06,9.68,28.44
-59.12,181.56,9.63
-73.44,23.94,16.94
-83.54,11.8,41.8
-52.59,81.51,34.52
-77.89,6.61,123.36
-63.51,42.94,16.9
-69.21,41.42,47.13
-71.5,18.4,47.56
-78.35,9.6,50.06
-52.87,28.3,96.71
-45.3,38.65,17.53
-74.06,38.24,32.03
-88.01,7.84,26.72
-79.09,31.74,26.85
-67.45,15.1,51.87
-65.9,53.37,33.42
-95.0,0.5,116.58
-62.84,21.17,68.71
-95.0,6.32,25.42
-74.15,9.92,45.39
-80.46,23.44,34.22
-67.04,18.23,23.32
-74.08,34.19,36.65
-80.7,4.06,44.55
-47.55,370.22,1.0
-80.83,23.89,42.09
-59.4,70.82,34.08
-92.28,7.3,26.94
-49.09,147.57,9.94
-74.4,17.48,25.49
-62.49,50.57,44.85
-67.28,17.54,186.22
-59.07,14.67,88.3
-73.69,17.82,24.6
-60.72,47.39,234.83
-80.43,11.47,57.71
-30.78,36.53,500.0
-76.25,19.44,12.11
-56.27,28.06,24.46
-67.27,29.65,17.38
-75.41,17.62,24.3
-61.99,27.39,41.0
-67.81,18.04,18.76
-83.48,6.5,33.67
-55.34,27.95,34.88
-95.0,1.97,60.95
-83.76,17.52,28.4
-63.69,20.22,186.26
-78.48,27.48,40.75
-44.19,41.84,19.05
-84.3,3.22,34.72
-70.03,13.54,134.18
-48.95,30.47,106.52
-88.96,5.14,84.58
-84.98,13.49,73.57
-69.49,40.92,28.21
-50.54,32.53,48.28
-83.84,16.91,68.7
-75.85,46.38,19.11
-74.71,38.14,26.72
-85.58,2.67,37.95
-65.69,4.95,168.3
-58.52,24.22,29.89
-67.18,28.88,12.79
-71.96,12.99,21.49
-74.6,64.51,13.18
-57.02,28.2,19.1
-83.98,10.72,16.93
-57.59,31.42,10.88
-59.69,80.59,16.81
-37.73,27.85,185.71
-68.83,46.23,11.06
-61.65,21.38,20.4
-84.84,21.25,20.52
-95.0,1.81,62.85
-89.42,3.01,92.99
-73.46,45.07,34.46
-74.43,16.69,17.94
-59.77,15.12,38.85
-59.7,34.14,11.33
-39.42,109.94,20.77
-65.7,16.33,38.37
-63.72,14.44,486.46
-86.59,12.51,30.41
-70.33,8.71,46.31
-64.24,17.62,57.25
-81.73,17.25,47.23
-55.46,28.16,40.53
-83.85,11.24,21.94
-66.19,27.41,19.71
-84.44,2.31,35.31
-70.02,20.06,41.74
-60.59,15.74,68.39
-76.71,17.69,500.0
-77.58,11.89,23.93
-54.21,72.31,44.36
-52.55,23.24,43.0
-50.37,22.72,76.25
-79.35,25.82,39.97
-33.52,141.28,21.55
-70.51,119.93,9.32
-45.74,57.13,13.26
-37.35,152.25,14.42
-73.7,13.25,31.13
-67.26,64.31,22.63
-63.48,11.5,68.43
-80.76,18.8,40.73
-91.51,0.5,497.25
-66.62,16.44,22.84
-69.26,13.11,72.22
-65.21,19.5,101.82
-95.0,2.78,42.27
-59.76,17.85,64.47
-50.51,34.82,39.82
-70.37,17.43,80.24
-70.55,16.41,29.78
-84.85,16.66,61.52
-76.19,44.05,20.97
-41.53,68.24,7.58
-73.26,14.7,34.63
-68.18,44.67,33.04
-71.31,16.37,25.13
-89.91,0.5,500.0
-69.98,38.18,43.41
-77.83,20.38,86.74
-71.03,55.47,20.62
-93.13,4.1,32.75
-23.64,38.26,319.55
-68.54,22.52,20.68
-81.52,42.02,15.75
-64.47,14.03,47.48
-80.65,7.17,37.72
-57.92,65.36,29.67
-62.52,39.65,8.22
-83.25,7.11,37.29
-36.92,262.95,9.31
-95.0,2.83,38.9
-77.13,21.88,18.83
-74.71,27.01,17.28
-47.53,95.32,31.23
-74.36,11.65,21.17
-40.44,230.93,18.68
-66.38,18.44,29.83
-58.11,77.21,21.58
-63.43,21.11,33.23
-87.12,10.83,38.04
-73.47,37.69,29.75
-57.63,27.04,31.55
-76.86,6.49,92.54
-63.86,19.77,110.25
-74.53,34.9,53.23
-69.99,12.39,37.68
-38.15,42.19,43.3
-72.71,12.14,243.36
-49.29,138.6,8.15
-65.47,19.8,24.96
-86.96,2.25,105.39
-55.72,35.05,17.45
-72.94,40.65,21.44
-76.61,1.74,496.86
-73.6,30.74,39.07
-95.0,0.5,51.72
-51.1,79.37,82.59
-95.0,4.59,256.65
-56.68,59.33,482.56
-60.49,19.36,40.43
-68.37,73.1,15.76
-81.26,56.45,17.04
-72.34,53.65,16.88
-83.99,19.87,37.71
-88.78,4.46,89.23
-81.83,4.58,142.35
-66.25,32.68,167.95
-78.58,5.12,50.28
-23.45,102.11,34.33
-68.51,6.36,489.4
-76.83,44.72,18.26
-67.68,14.23,72.06
-74.07,12.9,29.7
-87.42,0.5,102.04
-70.0,15.97,154.28
-57.16,19.62,500.0
-59.2,93.47,1.0
-74.62,12.66,19.92
-66.85,14.82,85.01
-73.33,5.33,102.96
-64.49,19.23,80.61
-63.63,8.12,500.0
-40.05,30.3,75.09
-90.41,9.57,58.91
-73.44,34.77,31.08
-95.0,0.5,78.79
-78.48,12.06,23.42
-60.18,19.14,500.0
-66.0,12.27,55.68
-72.22,13.09,327.26
-66.7,50.45,15.54
-44.74,34.99,30.28
-58.46,13.34,500.0
-53.36,99.13,16.37
-62.63,49.06,61.62
-95.0,3.41,54.54
-66.04,19.72,45.87
-90.66,10.05,65.78
-52.21,84.11,25.93
-69.92,14.26,94.75
-57.48,26.08,34.81
-62.79,11.06,323.95
-71.62,12.78,238.04
-85.6,0.5,33.62
-76.0,26.07,67.36
-81.53,28.59,18.44
-91.35,4.43,109.16
-77.48,20.36,123.53
-74.96,70.61,14.07
-83.45,62.32,19.84
-87.63,18.69,30.65
-61.76,14.35,500.0
-87.27,7.39,79.21
-57.75,20.72,228.84
-63.68,34.45,13.44
-68.82,14.19,37.43
-95.0,2.47,61.25
-69.64,27.16,14.05
-63.06,113.98,4.5
-75.02,24.07,47.75
-71.3,27.51,16.01
-57.33,25.38,108.91
-69.38,60.59,7.39
-76.03,22.3,83.79
-76.39,31.62,13.69
-29.16,71.63,12.36
-54.81,88.63,7.53
-77.49,49.59,15.83
-69.95,63.33,8.94
-78.22,9.39,105.51
-72.86,19.0,26.75
-87.99,3.82,47.93
-48.25,38.4,18.59
-77.11,12.38,42.16
-90.15,9.8,22.76
-77.13,32.88,38.35
-65.84,35.79,134.41
-72.82,32.47,16.14
-69.56,56.9,18.65
-84.61,13.1,78.3
-76.47,31.79,64.5
-95.0,8.2,25.46
-65.78,37.85,89.41
-57.78,66.56,42.22
-78.31,12.37,123.47
-54.19,69.55,43.67
-39.35,140.31,14.19
-69.56,16.56,104.73
-74.09,10.25,40.73
-67.17,14.92,70.16
-59.73,46.27,113.43
-33.72,36.51,144.95
-67.93,21.1,17.13
-80.89,15.88,22.46
-71.82,42.19,34.23
-70.68,19.01,16.14
-74.12,33.57,44.56
-69.07,13.78,45.79
-64.48,15.0,314.91
-95.0,10.0,37.15
-67.96,13.55,45.74
-68.43,67.96,18.48
-88.16,8.92,37.66
-39.05,29.6,500.0
-86.68,1.35,338.64
-72.75,31.27,14.85
-60.0,27.55,70.11
-78.45,25.19,500.0
-69.5,17.29,33.98
-50.18,27.77,57.47
-84.74,27.65,23.02
-89.35,7.22,71.42
-71.75,13.52,62.75
-84.05,6.29,135.78
-82.72,8.94,36.82
-72.81,9.58,49.96
-95.0,5.25,39.51
-72.1,26.5,15.54
-57.7,24.57,19.79
-86.71,16.16,25.38
-59.56,65.63,32.74
-71.31,37.45,71.03
