distance_m,num_walls,num_users,interference_level,frequency_band,signal_strength_dbm,throughput_mbps,latency_ms
11.99,2.0,28,high,5GHz,-67.79,35.84,47.09
48.12,3.0,15,medium,5GHz,-91.66,5.72,33.92
48.14,0.0,14,medium,2.4GHz,-65.73,23.43,18.56
19.4,6.0,41,low,5GHz,-92.71,3.5,110.45
16.63,3.0,38,low,2.4GHz,-61.67,18.48,68.57
25.75,2.0,32,medium,2.4GHz,-67.63,14.22,45.37
14.94,1.0,33,low,5GHz,-61.04,62.11,41.44
48.99,0.0,43,medium,2.4GHz,-70.59,12.41,136.82
11.45,5.0,12,low,2.4GHz,-67.7,27.36,14.74
18.77,1.0,47,low,2.4GHz,-55.14,24.84,318.16
21.75,0.0,44,low,2.4GHz,-56.31,28.2,152.71
6.69,6.0,18,high,5GHz,-83.54,12.72,39.85
19.45,3.0,18,medium,2.4GHz,-67.09,24.86,24.79
42.91,0.0,10,medium,5GHz,-72.61,60.08,20.98
7.45,2.0,36,medium,2.4GHz,-54.37,20.05,58.97
29.41,3.0,16,medium,2.4GHz,-73.41,19.52,26.5
20.63,1.0,14,low,2.4GHz,-57.08,39.64,8.3
8.94,6.0,34,high,2.4GHz,-72.17,10.82,65.88
1.11,6.0,10,low,2.4GHz,-40.84,59.71,5.78
14.03,6.0,6,medium,5GHz,-89.99,14.94,28.93
3.56,3.0,44,medium,5GHz,-54.8,55.65,156.05
19.15,6.0,2,high,2.4GHz,-78.1,25.23,26.6
40.61,2.0,46,medium,2.4GHz,-74.98,10.02,244.14
36.12,3.0,35,medium,2.4GHz,-75.61,10.25,64.92
47.4,,18,low,2.4GHz,-80.52,11.5,24.9
21.64,3.0,29,low,2.4GHz,-67.48,20.34,36.22
35.54,5.0,16,medium,5GHz,-92.82,4.02,38.93
33.43,0.0,21,medium,5GHz,-69.97,51.34,26.41
11.24,3.0,36,low,2.4GHz,-57.61,25.02,55.65
15.53,5.0,46,low,2.4GHz,-66.25,12.82,236.18
26.73,1.0,12,medium,5GHz,-70.19,61.35,23.07
39.93,2.0,27,low,2.4GHz,-69.42,13.9,29.39
23.36,,44,low,2.4GHz,-76.3,11.39,156.23
11.77,4.0,1,medium,2.4GHz,-70.43,68.43,14.17
49.68,2.0,1,low,5GHz,-79.42,134.91,17.76
6.22,2.0,31,high,5GHz,-58.12,45.17,49.71
47.82,1.0,8,medium,2.4GHz,-71.13,26.86,17.37
40.55,5.0,50,low,5GHz,-95.0,0.5,500.0
42.03,0.0,7,low,5GHz,-73.05,80.99,14.77
39.85,1.0,37,low,2.4GHz,-64.9,13.66,60.77
10.8,0.0,16,high,2.4GHz,-52.56,29.27,31.26
31.81,5.0,47,low,5GHz,,2.29,335.19
37.96,6.0,44,medium,5GHz,-95.0,0.72,174.09
37.41,0.0,40,medium,2.4GHz,-63.78,15.75,90.15
13.94,6.0,33,low,2.4GHz,-73.0,13.62,47.21
9.47,6.0,11,low,2.4GHz,-64.8,31.12,10.99
16.74,3.0,6,low,2.4GHz,-63.79,50.7,8.88
24.25,0.0,14,medium,5GHz,-64.27,75.56,20.03
28.9,4.0,4,high,2.4GHz,-77.5,12.88,29.5
41.93,3.0,40,high,5GHz,-92.56,2.69,115.5
38.57,5.0,15,low,2.4GHz,-81.26,9.54,24.13
33.97,2.0,23,medium,2.4GHz,-73.04,4.8,31.04
13.54,3.0,31,medium,5GHz,-72.46,33.73,50.38
24.2,6.0,36,high,5GHz,-95.0,0.5,86.84
17.1,4.0,30,medium,2.4GHz,-69.43,13.31,41.74
12.13,4.0,37,low,2.4GHz,-61.22,21.4,61.89
1.01,6.0,6,low,5GHz,-48.74,210.62,4.87
17.3,3.0,14,high,2.4GHz,-69.07,16.57,33.7
13.18,1.0,39,medium,2.4GHz,-53.56,14.61,79.64
28.81,6.0,36,low,5GHz,-95.0,2.43,71.36
3.58,0.0,32,high,2.4GHz,-39.38,19.64,54.71
13.89,3.0,47,medium,5GHz,-70.64,26.59,326.73
2.72,5.0,50,low,2.4GHz,-45.43,32.76,500.0
32.25,5.0,5,low,5GHz,-92.48,11.17,21.37
28.63,4.0,28,low,5GHz,-86.39,6.83,43.28
17.21,2.0,46,medium,2.4GHz,-62.73,14.13,241.18
7.79,1.0,17,medium,5GHz,-53.3,100.15,15.86
47.92,0.0,3,high,2.4GHz,-72.12,27.29,29.89
29.43,2.0,6,low,5GHz,-74.96,70.61,14.07
34.12,6.0,37,low,5GHz,-95.0,2.18,79.68
26.8,4.0,46,low,5GHz,-88.06,14.1,243.34
40.42,2.0,36,low,2.4GHz,-75.22,9.29,61.19
44.87,3.0,2,medium,5GHz,-91.8,21.07,24.53
19.44,2.0,21,medium,2.4GHz,-66.06,18.98,28.34
34.66,6.0,18,high,2.4GHz,-90.36,9.14,42.33
11.88,3.0,46,medium,2.4GHz,-63.53,13.72,238.12
32.77,5.0,27,low,2.4GHz,-80.48,7.57,38.3
20.26,0.0,12,low,2.4GHz,-54.38,45.93,10.32
0.84,3.0,29,medium,5GHz,-35.29,104.93,36.78
47.8,4.0,38,medium,2.4GHz,-84.05,2.92,86.16
43.49,4.0,30,low,2.4GHz,-82.15,6.26,44.85
14.9,0.0,21,high,2.4GHz,-55.08,26.36,30.17
49.89,4.0,36,high,2.4GHz,-82.57,0.5,85.97
16.2,5.0,16,medium,2.4GHz,-72.05,12.86,25.54
23.21,0.0,7,low,5GHz,-60.45,143.01,6.48
42.64,2.0,44,low,5GHz,-78.84,21.64,159.19
15.58,2.0,36,medium,2.4GHz,-59.97,15.0,59.35
22.8,1.0,37,low,5GHz,-68.26,45.85,63.8
33.45,3.0,45,low,5GHz,-82.78,14.45,194.78
6.96,6.0,36,medium,2.4GHz,-64.19,13.91,60.26
21.41,6.0,2,low,2.4GHz,-78.01,34.31,15.75
15.82,4.0,43,low,2.4GHz,-66.06,14.53,128.18
34.0,6.0,2,low,5GHz,-95.0,3.75,22.14
7.23,5.0,35,low,2.4GHz,-55.91,23.01,51.68
12.02,0.0,50,low,5GHz,-49.59,73.77,500.0
35.71,2.0,21,medium,2.4GHz,-73.86,14.85,33.51
8.23,5.0,16,low,5GHz,-75.19,44.93,16.63
21.39,3.0,47,low,2.4GHz,-63.99,12.12,318.74
35.79,4.0,23,low,5GHz,-90.21,5.84,36.6
38.39,2.0,47,low,2.4GHz,-68.03,6.69,322.57
5.2,0.0,16,low,5GHz,-36.46,166.79,11.34
42.67,3.0,10,low,5GHz,-83.53,30.27,21.86
36.34,2.0,28,medium,5GHz,-76.74,28.98,44.63
17.3,5.0,19,high,5GHz,-91.79,7.1,45.34
38.31,6.0,36,low,2.4GHz,-87.63,5.45,71.75
36.55,0.0,15,low,2.4GHz,-63.77,29.17,12.98
30.24,2.0,38,medium,2.4GHz,-69.37,10.63,77.12
28.14,2.0,18,medium,2.4GHz,-70.36,15.16,21.82
36.87,4.0,18,low,2.4GHz,-77.86,12.22,21.92
49.96,2.0,36,high,5GHz,-88.04,,83.87
29.14,3.0,14,low,2.4GHz,-70.97,18.9,14.39
40.53,6.0,15,high,2.4GHz,-88.14,3.57,42.07
37.34,,28,high,5GHz,-94.68,0.5,64.47
42.86,0.0,17,high,2.4GHz,-70.65,14.39,34.4
47.75,3.0,20,low,2.4GHz,-73.92,13.3,25.54
10.06,6.0,17,low,5GHz,-76.37,47.05,25.87
8.69,3.0,32,low,5GHz,-62.63,58.82,40.23
29.52,6.0,17,medium,5GHz,-95.0,3.59,37.28
22.74,,31,low,2.4GHz,-80.96,3.43,45.22
28.75,1.0,12,low,2.4GHz,-63.43,34.33,12.2
40.0,2.0,45,low,2.4GHz,-72.65,14.13,192.34
46.62,1.0,48,low,2.4GHz,-67.55,11.29,486.95
21.16,1.0,1,medium,2.4GHz,-58.34,114.97,9.12
36.04,2.0,6,high,2.4GHz,-76.16,13.0,27.42
10.24,2.0,6,low,2.4GHz,-55.46,59.78,6.25
26.96,2.0,10,low,5GHz,-72.36,71.97,14.17
1.58,5.0,40,medium,2.4GHz,-46.73,30.94,88.76
25.44,1.0,13,low,2.4GHz,-64.96,31.97,9.07
27.49,3.0,30,low,2.4GHz,-66.99,14.26,37.25
36.9,6.0,13,low,5GHz,-95.0,3.76,30.86
32.65,5.0,4,low,5GHz,-93.15,12.82,23.67
18.24,1.0,5,low,5GHz,-63.16,139.31,6.44
0.78,1.0,48,medium,5GHz,-22.4,103.53,482.15
6.22,6.0,28,high,2.4GHz,-66.65,12.82,49.66
48.67,4.0,33,high,2.4GHz,-88.04,8.38,70.81
46.16,6.0,10,medium,2.4GHz,-87.66,4.99,31.03
16.59,6.0,25,low,5GHz,-90.79,10.97,37.51
13.31,3.0,33,high,5GHz,-74.82,20.67,62.26
22.1,3.0,39,medium,2.4GHz,-70.9,13.18,84.56
34.65,2.0,33,medium,2.4GHz,-70.79,13.22,50.12
18.16,4.0,30,low,2.4GHz,-66.38,23.61,34.21
3.83,4.0,32,medium,2.4GHz,-52.52,28.34,45.59
20.44,4.0,19,medium,2.4GHz,-72.47,13.36,28.85
13.4,6.0,35,medium,5GHz,-90.11,0.64,68.4
16.58,5.0,15,low,2.4GHz,-70.28,24.51,16.11
8.57,0.0,36,low,2.4GHz,-43.25,38.55,49.82
33.11,2.0,23,medium,2.4GHz,-70.64,10.16,30.46
26.57,3.0,29,low,5GHz,-76.33,37.1,38.39
13.91,4.0,24,low,5GHz,-76.14,32.93,32.79
27.92,6.0,29,low,5GHz,-92.48,8.61,48.35
24.89,2.0,36,medium,5GHz,-79.03,19.7,69.69
39.9,5.0,15,low,5GHz,-95.0,7.63,31.65
47.82,2.0,24,low,5GHz,-83.44,20.04,33.8
6.97,1.0,21,high,5GHz,-55.12,64.47,33.26
44.25,3.0,1,low,5GHz,-85.02,75.43,18.56
35.39,1.0,43,low,5GHz,-66.94,39.48,130.69
34.78,2.0,35,low,5GHz,-77.13,30.65,60.14
19.03,1.0,3,medium,2.4GHz,-58.75,69.11,13.47
17.52,0.0,4,low,5GHz,-58.43,194.14,1.0
0.78,4.0,47,low,5GHz,-36.16,98.47,313.58
49.12,5.0,43,low,5GHz,-95.0,0.59,144.63
30.52,0.0,37,medium,2.4GHz,-65.52,10.45,69.94
20.42,4.0,36,medium,5GHz,-85.61,11.19,72.93
27.42,3.0,43,low,5GHz,-79.36,22.7,137.75
2.51,0.0,30,medium,5GHz,-32.5,109.27,36.85
9.1,4.0,1,medium,5GHz,-71.65,197.57,12.85
31.36,1.0,23,medium,5GHz,-76.15,28.37,35.17
25.96,5.0,17,low,5GHz,-90.44,12.07,28.86
39.46,4.0,9,high,5GHz,-95.0,0.5,43.59
33.11,0.0,43,medium,5GHz,-67.65,37.31,132.9
30.27,3.0,33,medium,5GHz,-81.6,16.79,61.36
40.86,0.0,46,low,5GHz,-68.47,42.32,239.93
3.88,5.0,6,low,2.4GHz,-55.59,61.46,5.2
34.7,2.0,49,medium,2.4GHz,-70.34,11.57,500.0
35.92,3.0,31,medium,5GHz,-89.18,6.45,55.3
14.12,4.0,29,low,2.4GHz,-64.85,21.72,32.91
10.18,5.0,10,medium,5GHz,-78.19,36.47,24.49
11.09,3.0,32,low,5GHz,-67.06,43.16,41.71
10.31,0.0,30,medium,5GHz,-50.51,81.78,39.12
26.43,1.0,36,low,2.4GHz,-64.54,13.2,55.9
7.21,4.0,8,low,5GHz,-61.93,128.22,7.34
33.13,0.0,32,low,2.4GHz,-62.89,18.4,40.41
5.7,2.0,5,low,2.4GHz,-52.62,76.15,10.0
1.83,2.0,4,medium,2.4GHz,,97.05,11.47
16.3,2.0,24,low,5GHz,-60.93,73.09,23.22
10.0,6.0,6,low,5GHz,-79.82,53.13,16.96
49.44,6.0,36,low,5GHz,-95.0,0.5,76.97
15.5,6.0,25,low,2.4GHz,-70.79,16.65,25.95
11.49,6.0,12,low,2.4GHz,-67.07,29.41,8.55
10.24,6.0,14,medium,5GHz,-87.63,18.69,30.65
19.01,1.0,25,low,2.4GHz,-55.59,24.08,22.37
30.49,2.0,30,medium,5GHz,-78.72,21.84,46.62
39.21,0.0,40,low,2.4GHz,-61.62,21.49,86.18
18.55,5.0,29,low,2.4GHz,-69.82,12.21,31.86
31.49,6.0,28,low,2.4GHz,-79.57,12.28,41.76
24.36,0.0,31,low,2.4GHz,-57.84,28.61,38.83
42.4,1.0,30,low,2.4GHz,-69.08,18.97,36.5
28.67,1.0,18,low,2.4GHz,-61.8,27.28,19.21
14.85,6.0,12,medium,5GHz,-88.25,14.73,31.03
35.33,5.0,27,low,2.4GHz,-78.37,9.44,36.57
41.09,1.0,7,medium,2.4GHz,-69.6,27.02,16.86
23.54,0.0,13,low,2.4GHz,-55.69,43.23,10.25
49.37,2.0,8,high,2.4GHz,-81.38,7.6,34.67
44.02,4.0,25,low,2.4GHz,-76.91,14.23,34.1
10.25,0.0,49,low,2.4GHz,-47.7,28.69,500.0
39.44,3.0,44,low,2.4GHz,-71.37,15.44,155.58
30.25,3.0,5,high,2.4GHz,-75.56,16.0,28.96
26.97,6.0,42,medium,5GHz,-95.0,3.75,132.16
25.94,1.0,8,low,2.4GHz,-60.51,43.87,4.51
42.74,1.0,46,low,5GHz,-75.43,33.25,243.04
30.74,3.0,11,medium,2.4GHz,-74.57,13.19,21.02
27.12,2.0,7,medium,5GHz,-74.39,,20.08
2.92,6.0,40,low,2.4GHz,-52.91,24.93,82.65
22.69,5.0,42,low,2.4GHz,-73.56,11.08,117.72
45.45,1.0,20,low,2.4GHz,-66.41,18.83,17.76
35.73,2.0,28,low,5GHz,-76.46,29.88,33.95
3.02,4.0,40,low,5GHz,-51.65,70.9,84.98
44.26,6.0,43,low,2.4GHz,-86.14,0.5,140.42
41.42,1.0,21,low,5GHz,-73.18,44.66,27.12
27.56,2.0,40,medium,5GHz,-73.82,34.11,102.38
1.61,4.0,40,low,5GHz,-46.85,87.07,81.98
28.34,6.0,40,low,5GHz,-95.0,0.5,101.0
3.2,2.0,45,high,2.4GHz,-46.24,17.76,197.97
16.36,3.0,42,low,5GHz,-72.27,30.54,111.4
31.63,4.0,23,low,5GHz,-86.55,5.15,33.68
45.69,2.0,16,low,5GHz,-79.53,33.69,25.25
18.21,5.0,50,low,5GHz,-83.77,11.9,500.0
43.07,3.0,23,low,2.4GHz,-69.4,17.93,26.2
45.96,6.0,47,low,2.4GHz,-83.33,3.42,326.6
1.54,4.0,50,low,2.4GHz,-40.29,28.68,500.0
12.35,6.0,1,medium,5GHz,-85.54,62.39,24.52
35.64,6.0,8,high,2.4GHz,-88.37,0.55,33.5
37.96,1.0,29,low,2.4GHz,-64.85,20.31,35.09
19.92,6.0,5,medium,5GHz,-93.33,2.61,29.77
33.01,0.0,33,medium,2.4GHz,-66.93,20.39,51.24
30.8,1.0,1,low,5GHz,-71.55,231.27,10.53
37.12,0.0,43,low,5GHz,-66.92,41.64,132.97
36.07,0.0,22,low,2.4GHz,-60.53,25.9,23.47
4.75,5.0,34,medium,5GHz,-70.76,37.19,56.4
8.33,0.0,24,high,5GHz,-49.09,69.96,33.53
7.07,1.0,35,high,2.4GHz,-50.03,17.19,63.63
46.66,2.0,35,medium,5GHz,-85.77,8.35,69.49
45.72,5.0,15,low,2.4GHz,-82.33,7.45,22.32
39.97,5.0,41,low,2.4GHz,-78.94,9.82,106.58
6.28,6.0,42,low,5GHz,-73.15,31.52,112.98
28.93,0.0,17,low,2.4GHz,-62.16,30.57,18.56
9.77,1.0,4,high,5GHz,-60.87,118.31,17.19
18.74,2.0,23,low,2.4GHz,-59.29,26.21,25.22
13.72,1.0,33,medium,5GHz,-63.57,44.46,46.16
41.53,0.0,39,low,5GHz,-67.58,47.63,74.82
7.65,3.0,11,medium,5GHz,-64.19,82.29,17.98
32.49,3.0,25,medium,2.4GHz,-74.13,12.24,34.29
49.2,3.0,39,low,2.4GHz,-80.87,6.57,86.98
34.51,0.0,27,medium,5GHz,-66.48,43.92,35.84
4.42,2.0,40,low,2.4GHz,-45.91,28.68,80.05
45.44,3.0,34,medium,2.4GHz,-78.84,7.98,56.8
32.33,1.0,9,low,2.4GHz,-63.29,36.59,9.0
23.09,5.0,11,medium,2.4GHz,-76.7,15.95,24.1
33.15,6.0,40,medium,2.4GHz,-84.45,3.43,101.03
44.01,6.0,36,low,2.4GHz,-85.67,0.5,69.17
24.12,4.0,42,medium,2.4GHz,-74.84,3.07,122.39
26.8,4.0,15,high,5GHz,-91.35,6.18,39.67
22.9,1.0,3,low,2.4GHz,-59.03,74.26,3.54
4.09,2.0,12,low,2.4GHz,-45.41,54.28,11.53
39.46,0.0,22,low,5GHz,-69.38,51.97,23.26
6.76,3.0,7,medium,5GHz,-62.35,113.02,12.53
20.03,5.0,10,medium,2.4GHz,-73.8,14.72,19.49
19.65,4.0,8,medium,2.4GHz,-72.83,24.97,18.18
14.36,0.0,7,low,5GHz,-55.67,156.32,5.97
20.42,3.0,20,high,2.4GHz,-71.86,13.05,35.12
31.09,6.0,41,low,2.4GHz,-83.09,4.69,110.15
15.91,0.0,19,medium,5GHz,-58.11,77.21,21.58
9.04,3.0,15,medium,2.4GHz,-63.21,26.06,20.7
43.53,1.0,28,low,5GHz,-71.94,41.85,35.45
48.56,6.0,33,low,2.4GHz,-86.67,5.77,54.21
23.2,3.0,18,high,2.4GHz,-76.36,7.8,37.14
16.69,5.0,1,low,5GHz,-84.78,75.05,17.36
2.85,3.0,15,medium,5GHz,-50.35,106.23,17.69
2.32,6.0,4,low,5GHz,-61.98,172.07,5.62
19.95,2.0,8,medium,5GHz,-74.67,58.14,17.02
46.55,5.0,31,low,5GHz,-95.0,0.5,57.21
36.67,3.0,9,medium,2.4GHz,-73.44,22.99,20.07
17.79,4.0,19,low,5GHz,-81.65,29.36,25.82
48.42,4.0,20,low,5GHz,-92.29,4.69,34.81
21.72,1.0,44,medium,5GHz,-69.55,34.17,160.29
14.2,6.0,8,medium,5GHz,-92.03,14.14,28.24
21.6,5.0,5,medium,5GHz,-91.48,11.47,28.45
10.97,2.0,27,low,2.4GHz,-53.66,26.2,27.95
44.34,4.0,32,low,2.4GHz,-80.53,6.54,51.87
18.38,4.0,26,high,5GHz,-84.38,8.58,51.16
33.07,3.0,36,medium,2.4GHz,-76.84,8.79,67.72
19.76,4.0,44,medium,2.4GHz,-70.08,14.56,159.87
45.14,3.0,31,low,2.4GHz,-75.82,5.71,46.65
32.3,5.0,27,medium,2.4GHz,-79.87,11.4,40.54
24.67,1.0,35,medium,2.4GHz,-66.03,15.53,58.69
7.04,0.0,11,low,2.4GHz,-38.67,68.44,8.37
45.14,2.0,13,low,2.4GHz,-67.88,27.62,16.54
27.57,5.0,19,low,5GHz,-95.0,1.49,34.54
14.61,0.0,39,high,5GHz,-57.17,43.72,89.44
43.96,6.0,43,high,2.4GHz,-90.5,4.25,157.31
3.19,2.0,28,low,2.4GHz,-39.7,44.42,24.61
16.05,1.0,31,medium,2.4GHz,-57.65,24.52,39.63
27.07,3.0,40,medium,5GHz,-79.95,15.91,100.02
17.32,5.0,13,high,2.4GHz,-77.57,13.77,37.07
24.1,6.0,7,medium,2.4GHz,-83.76,13.05,24.27
13.58,4.0,38,low,5GHz,-76.62,30.03,78.27
6.94,3.0,7,high,2.4GHz,-60.23,27.81,21.6
2.32,5.0,8,high,2.4GHz,-52.78,35.08,20.99
8.3,6.0,20,medium,5GHz,-81.87,21.02,32.91
47.67,5.0,40,low,2.4GHz,-83.86,7.38,96.8
28.98,,20,medium,5GHz,-95.0,0.5,44.13
24.7,5.0,6,low,2.4GHz,-73.78,25.16,13.29
19.52,0.0,7,medium,2.4GHz,-59.39,42.48,10.91
35.57,0.0,13,high,5GHz,-70.53,40.34,29.41
7.49,4.0,5,low,5GHz,-67.1,125.67,10.83
14.17,6.0,17,low,5GHz,-87.97,12.09,25.26
32.97,2.0,5,low,5GHz,-78.59,58.74,12.67
24.21,6.0,43,high,2.4GHz,-80.99,4.73,149.48
38.62,5.0,3,medium,2.4GHz,-86.24,10.58,21.39
44.91,0.0,10,low,2.4GHz,-63.75,30.93,11.78
41.26,3.0,2,high,2.4GHz,-79.79,19.07,30.35
9.62,1.0,15,high,5GHz,-59.89,64.8,23.41
5.03,0.0,41,high,2.4GHz,-46.92,17.63,108.28
8.89,4.0,29,medium,5GHz,-73.31,32.73,42.79
39.28,1.0,47,medium,5GHz,-71.27,29.56,328.02
45.73,3.0,31,low,2.4GHz,-73.14,7.31,38.68
46.31,4.0,22,low,5GHz,-90.29,11.75,37.5
15.26,3.0,48,medium,2.4GHz,-63.44,15.26,491.15
42.1,0.0,10,low,2.4GHz,-63.33,37.33,10.68
27.04,0.0,6,low,5GHz,-59.93,153.76,8.63
41.23,2.0,17,low,2.4GHz,-70.16,20.34,21.94
27.64,0.0,47,low,2.4GHz,-54.19,22.27,313.68
7.72,6.0,41,low,2.4GHz,-62.4,25.25,97.44
4.42,1.0,27,high,2.4GHz,-45.59,19.43,39.28
47.88,0.0,47,low,2.4GHz,-64.03,18.02,317.25
21.58,0.0,33,medium,5GHz,-62.18,47.77,48.65
17.85,4.0,12,medium,5GHz,-77.94,41.56,22.1
18.14,4.0,1,medium,2.4GHz,-71.52,67.78,16.66
19.26,4.0,2,low,2.4GHz,-67.33,64.52,8.65
47.28,2.0,43,medium,5GHz,-83.7,13.12,147.15
3.6,2.0,16,high,2.4GHz,-48.98,31.72,26.47
6.39,4.0,22,medium,5GHz,-66.3,54.16,28.83
39.59,0.0,20,low,2.4GHz,-68.58,23.18,20.75
27.7,2.0,5,medium,2.4GHz,-66.52,42.54,16.49
6.86,0.0,1,medium,2.4GHz,-41.84,177.77,8.6
2.21,2.0,37,low,5GHz,-40.01,100.36,58.86
11.6,6.0,35,medium,2.4GHz,-72.82,14.68,65.14
13.41,5.0,12,low,5GHz,-80.92,35.62,18.32
1.2,4.0,7,low,2.4GHz,-34.09,89.09,5.62
11.2,4.0,26,low,2.4GHz,-59.23,27.18,26.06
37.05,2.0,5,low,2.4GHz,-66.7,45.9,10.97
42.84,4.0,15,low,2.4GHz,-75.67,16.44,18.93
44.96,5.0,36,high,2.4GHz,-86.74,0.5,82.07
19.8,3.0,9,low,2.4GHz,-69.51,32.9,11.56
16.31,0.0,39,low,2.4GHz,-53.11,27.58,73.96
49.99,4.0,45,medium,5GHz,-93.88,0.56,205.92
38.58,0.0,10,medium,2.4GHz,-63.38,32.19,15.83
27.1,2.0,34,medium,5GHz,-76.62,25.51,62.22
13.11,1.0,39,high,5GHz,-67.37,24.5,93.06
16.4,0.0,26,medium,5GHz,-56.48,68.89,29.35
26.01,5.0,15,medium,5GHz,-93.91,4.99,35.84
27.33,4.0,50,low,5GHz,-86.7,13.66,500.0
1.18,2.0,16,medium,2.4GHz,-29.22,55.64,15.49
47.99,2.0,13,medium,2.4GHz,-74.44,20.95,22.89
28.99,4.0,7,low,5GHz,-83.96,31.95,19.4
29.66,3.0,46,low,2.4GHz,-72.98,,243.22
10.97,1.0,12,low,2.4GHz,-51.74,42.44,10.89
38.37,3.0,7,low,2.4GHz,-76.56,21.95,17.97
36.99,5.0,2,low,5GHz,-92.61,15.46,19.19
5.21,3.0,15,medium,5GHz,-57.19,87.46,15.06
29.95,5.0,34,medium,2.4GHz,-81.67,4.05,65.01
33.08,3.0,35,low,2.4GHz,-71.99,10.27,56.9
41.86,2.0,43,low,5GHz,-78.66,19.29,134.73
10.7,5.0,34,low,5GHz,-79.42,23.29,57.58
43.94,1.0,3,medium,2.4GHz,-73.7,36.4,14.25
23.34,4.0,43,low,2.4GHz,-71.02,16.6,133.12
5.28,4.0,13,high,5GHz,-65.97,54.8,25.41
5.73,1.0,48,low,2.4GHz,-45.95,22.54,484.0
10.29,1.0,18,medium,2.4GHz,-50.55,34.83,18.73
14.5,0.0,1,low,2.4GHz,-50.55,173.1,4.75
25.07,1.0,20,medium,5GHz,-67.08,54.82,23.9
37.56,0.0,23,low,5GHz,-69.49,56.7,22.34
9.74,4.0,42,medium,2.4GHz,-65.1,13.04,114.57
49.64,0.0,28,high,2.4GHz,-72.51,7.54,48.59
8.5,3.0,3,high,5GHz,-65.71,111.28,21.73
30.17,0.0,3,high,5GHz,-69.6,96.46,23.82
46.48,5.0,31,low,2.4GHz,-82.9,3.35,51.73
41.71,4.0,5,low,2.4GHz,-75.01,28.12,12.71
32.57,2.0,27,high,5GHz,-84.25,11.68,53.2
35.92,5.0,45,high,5GHz,-95.0,5.47,215.47
7.14,1.0,42,low,5GHz,-50.02,73.82,108.92
0.98,4.0,32,low,2.4GHz,-30.52,49.35,38.6
21.99,4.0,16,low,5GHz,-80.05,36.54,19.52
4.93,3.0,26,low,5GHz,-56.65,77.74,28.85
18.21,4.0,6,low,2.4GHz,-64.61,43.04,10.28
11.58,6.0,37,medium,5GHz,-86.06,7.67,77.58
45.86,2.0,7,low,2.4GHz,-70.69,28.39,9.1
44.06,1.0,3,low,5GHz,-74.31,113.66,13.0
41.04,,32,low,2.4GHz,-70.64,17.32,44.62
35.84,3.0,29,low,5GHz,-88.07,9.6,44.96
8.13,0.0,28,medium,2.4GHz,-45.89,30.22,33.95
2.89,6.0,24,low,5GHz,-60.23,80.01,22.88
32.87,3.0,30,high,2.4GHz,-79.38,4.06,63.0
32.29,6.0,23,low,5GHz,-95.0,3.5,36.55
18.79,6.0,7,medium,2.4GHz,-77.32,17.49,23.01
23.9,0.0,29,low,5GHz,-58.59,70.07,28.58
24.71,0.0,3,medium,2.4GHz,-59.33,62.16,10.95
12.38,1.0,4,medium,5GHz,-60.29,157.19,9.63
16.05,3.0,29,low,2.4GHz,-63.07,26.28,33.64
21.21,2.0,36,medium,2.4GHz,-65.94,15.97,64.48
30.36,0.0,5,medium,2.4GHz,-63.35,40.41,9.79
47.81,3.0,19,low,2.4GHz,-78.57,9.47,23.48
27.15,2.0,47,medium,2.4GHz,-63.86,14.5,324.46
36.69,5.0,40,medium,2.4GHz,-81.79,3.13,96.71
40.45,5.0,41,medium,5GHz,-95.0,2.97,119.52
6.12,5.0,33,low,5GHz,-67.42,50.33,46.16
32.83,3.0,9,medium,2.4GHz,-78.5,13.27,19.51
24.36,4.0,20,high,2.4GHz,-79.42,0.5,43.17
28.84,0.0,30,medium,2.4GHz,-61.21,19.04,40.38
2.4,5.0,34,low,5GHz,-56.77,73.5,43.16
45.36,3.0,7,low,2.4GHz,-74.09,27.18,16.36
47.66,0.0,49,low,5GHz,-72.53,35.71,500.0
0.67,0.0,47,low,5GHz,-20.0,128.65,311.98
11.03,2.0,2,low,2.4GHz,-55.55,102.94,6.09
9.42,2.0,30,low,5GHz,-60.81,64.29,33.34
39.17,1.0,8,high,2.4GHz,-74.15,14.93,33.05
30.1,5.0,16,medium,5GHz,-91.1,5.4,32.52
9.28,3.0,45,low,2.4GHz,-58.72,20.59,182.62
40.79,1.0,35,low,5GHz,-74.56,29.11,58.77
18.0,4.0,18,medium,5GHz,-83.51,16.09,33.64
23.31,3.0,1,low,2.4GHz,-68.66,90.69,7.18
19.67,5.0,42,low,5GHz,-88.8,7.03,124.35
26.31,3.0,15,high,2.4GHz,-76.83,12.01,34.12
24.27,5.0,31,medium,5GHz,-91.95,2.69,60.24
14.09,5.0,12,high,2.4GHz,-74.59,6.1,27.22
21.52,0.0,40,medium,2.4GHz,-57.86,21.5,90.58
45.46,0.0,18,medium,5GHz,-68.26,53.19,23.06
25.39,5.0,37,medium,2.4GHz,-77.39,7.02,71.64
45.86,3.0,5,medium,5GHz,-90.09,16.27,31.04
27.73,1.0,31,low,5GHz,-73.41,40.37,41.88
38.56,0.0,49,low,2.4GHz,-65.44,16.3,500.0
15.03,6.0,24,medium,2.4GHz,-71.66,13.76,34.61
39.63,0.0,24,low,2.4GHz,-61.71,24.01,24.3
13.58,3.0,35,medium,2.4GHz,-62.87,13.63,57.54
